Clauses,T,s,Accuracy(%),,"? 数据加载成功！X 形状: (1928, 128), y 形状: (1928,)"
500,150,30,75.38860103626943,,"[77/560] 训练中: N=10, T=50, s=14.47 ... 验证率: 51.04%, 耗时/轮: 0.01s"
500,200,1.1,91.19170984455958,,"[78/560] 训练中: N=10, T=50, s=27.57 ... 验证率: 41.19%, 耗时/轮: 0.01s"
500,200,2.13,90.93264248704664,,"[79/560] 训练中: N=10, T=50, s=52.5 ... 验证率: 30.57%, 耗时/轮: 0.01s"
500,200,4.13,90.67357512953367,,"[80/560] 训练中: N=10, T=50, s=100.0 ... 验证率: 27.72%, 耗时/轮: 0.01s"
500,200,8,89.89637305699482,,"[81/560] 训练中: N=10, T=100, s=1.1 ... 验证率: 79.53%, 耗时/轮: 0.03s"
500,200,15.49,83.41968911917098,,"[82/560] 训练中: N=10, T=100, s=2.1 ... 验证率: 67.36%, 耗时/轮: 0.01s"
500,200,30,80.05181347150258,,"[83/560] 训练中: N=10, T=100, s=3.99 ... 验证率: 60.88%, 耗时/轮: 0.01s"
1000,10,1.1,88.08290155440415,,"[84/560] 训练中: N=10, T=100, s=7.6 ... 验证率: 55.18%, 耗时/轮: 0.01s"
1000,10,2.13,92.2279792746114,,"[85/560] 训练中: N=10, T=100, s=14.47 ... 验证率: 47.93%, 耗时/轮: 0.01s"
1000,10,4.13,87.04663212435233,,"[86/560] 训练中: N=10, T=100, s=27.57 ... 验证率: 36.53%, 耗时/轮: 0.01s"
1000,10,8,88.08290155440415,,"[87/560] 训练中: N=10, T=100, s=52.5 ... 验证率: 31.87%, 耗时/轮: 0.01s"
1000,10,15.49,88.3419689119171,,"[88/560] 训练中: N=10, T=100, s=100.0 ... 验证率: 26.94%, 耗时/轮: 0.01s"
1000,10,30,91.96891191709845,,"[89/560] 训练中: N=10, T=200, s=1.1 ... 验证率: 76.68%, 耗时/轮: 0.03s"
1000,50,1.1,87.56476683937824,,"[90/560] 训练中: N=10, T=200, s=2.1 ... 验证率: 70.47%, 耗时/轮: 0.01s"
1000,50,2.13,85.49222797927462,,"[91/560] 训练中: N=10, T=200, s=3.99 ... 验证率: 67.62%, 耗时/轮: 0.01s"
1000,50,4.13,91.19170984455958,,"[92/560] 训练中: N=10, T=200, s=7.6 ... 验证率: 57.25%, 耗时/轮: 0.01s"
1000,50,8,90.15544041450777,,"[93/560] 训练中: N=10, T=200, s=14.47 ... 验证率: 46.11%, 耗时/轮: 0.01s"
1000,50,15.49,88.3419689119171,,"[94/560] 训练中: N=10, T=200, s=27.57 ... 验证率: 38.86%, 耗时/轮: 0.01s"
1000,50,30,89.11917098445595,,"[95/560] 训练中: N=10, T=200, s=52.5 ... 验证率: 30.31%, 耗时/轮: 0.01s"
1000,100,1.1,90.41450777202073,,"[96/560] 训练中: N=10, T=200, s=100.0 ... 验证率: 29.27%, 耗时/轮: 0.01s"
1000,100,2.13,93.26424870466322,,"[97/560] 训练中: N=10, T=500, s=1.1 ... 验证率: 80.31%, 耗时/轮: 0.03s"
1000,100,4.13,91.19170984455958,,"[98/560] 训练中: N=10, T=500, s=2.1 ... 验证率: 67.36%, 耗时/轮: 0.01s"
1000,100,8,90.93264248704664,,"[99/560] 训练中: N=10, T=500, s=3.99 ... 验证率: 63.21%, 耗时/轮: 0.01s"
1000,100,15.49,89.63730569948186,,"[100/560] 训练中: N=10, T=500, s=7.6 ... 验证率: 56.22%, 耗时/轮: 0.01s"
1000,100,30,87.30569948186529,,"[101/560] 训练中: N=10, T=500, s=14.47 ... 验证率: 45.85%, 耗时/轮: 0.01s"
1000,150,1.1,92.2279792746114,,"[102/560] 训练中: N=10, T=500, s=27.57 ... 验证率: 37.56%, 耗时/轮: 0.01s"
1000,150,2.13,92.74611398963731,,"[103/560] 训练中: N=10, T=500, s=52.5 ... 验证率: 29.79%, 耗时/轮: 0.01s"
1000,150,4.13,92.48704663212435,,"[104/560] 训练中: N=10, T=500, s=100.0 ... 验证率: 27.98%, 耗时/轮: 0.01s"
1000,150,8,91.70984455958549,,"[105/560] 训练中: N=10, T=1000, s=1.1 ... 验证率: 73.32%, 耗时/轮: 0.03s"
1000,150,15.49,88.86010362694302,,"[106/560] 训练中: N=10, T=1000, s=2.1 ... 验证率: 65.03%, 耗时/轮: 0.01s"
1000,150,30,86.52849740932642,,"[107/560] 训练中: N=10, T=1000, s=3.99 ... 验证率: 65.80%, 耗时/轮: 0.01s"
1000,200,1.1,91.96891191709845,,"[108/560] 训练中: N=10, T=1000, s=7.6 ... 验证率: 55.70%, 耗时/轮: 0.01s"
1000,200,2.13,91.96891191709845,,"[109/560] 训练中: N=10, T=1000, s=14.47 ... 验证率: 45.34%, 耗时/轮: 0.01s"
1000,200,4.13,91.19170984455958,,"[110/560] 训练中: N=10, T=1000, s=27.57 ... 验证率: 35.75%, 耗时/轮: 0.01s"
1000,200,8,88.60103626943005,,"[111/560] 训练中: N=10, T=1000, s=52.5 ... 验证率: 30.31%, 耗时/轮: 0.01s"
1000,200,15.49,88.3419689119171,,"[112/560] 训练中: N=10, T=1000, s=100.0 ... 验证率: 27.46%, 耗时/轮: 0.01s"
1000,200,30,85.49222797927462,,"[113/560] 训练中: N=50, T=5, s=1.1 ... 验证率: 91.45%, 耗时/轮: 0.03s"
1500,10,1.1,88.08290155440415,,    ?? 发现新的最优参数组合！验证率: 91.45%
1500,10,2.13,83.41968911917098,,"[114/560] 训练中: N=50, T=5, s=2.1 ... 验证率: 91.97%, 耗时/轮: 0.01s"
1500,10,4.13,87.8238341968912,,    ?? 发现新的最优参数组合！验证率: 91.97%
1500,10,8,88.60103626943005,,"[115/560] 训练中: N=50, T=5, s=3.99 ... 验证率: 89.38%, 耗时/轮: 0.01s"
1500,10,15.49,88.3419689119171,,"[116/560] 训练中: N=50, T=5, s=7.6 ... 验证率: 90.41%, 耗时/轮: 0.01s"
1500,10,30,89.89637305699482,,"[117/560] 训练中: N=50, T=5, s=14.47 ... 验证率: 88.60%, 耗时/轮: 0.01s"
1500,50,1.1,88.3419689119171,,"[118/560] 训练中: N=50, T=5, s=27.57 ... 验证率: 82.12%, 耗时/轮: 0.01s"
1500,50,2.13,91.70984455958549,,"[119/560] 训练中: N=50, T=5, s=52.5 ... 验证率: 60.10%, 耗时/轮: 0.01s"
1500,50,4.13,86.26943005181347,,"[120/560] 训练中: N=50, T=5, s=100.0 ... 验证率: 46.89%, 耗时/轮: 0.02s"
1500,50,8,88.86010362694302,,"[121/560] 训练中: N=50, T=20, s=1.1 ... 验证率: 90.41%, 耗时/轮: 0.06s"
1500,50,15.49,89.37823834196891,,"[122/560] 训练中: N=50, T=20, s=2.1 ... 验证率: 89.90%, 耗时/轮: 0.02s"
1500,50,30,88.08290155440415,,"[123/560] 训练中: N=50, T=20, s=3.99 ... 验证率: 90.67%, 耗时/轮: 0.02s"
1500,100,1.1,90.67357512953367,,"[124/560] 训练中: N=50, T=20, s=7.6 ... 验证率: 83.16%, 耗时/轮: 0.02s"
1500,100,2.13,91.70984455958549,,"[125/560] 训练中: N=50, T=20, s=14.47 ... 验证率: 66.84%, 耗时/轮: 0.02s"
1500,100,4.13,91.70984455958549,,"[126/560] 训练中: N=50, T=20, s=27.57 ... 验证率: 56.48%, 耗时/轮: 0.02s"
1500,100,8,91.19170984455958,,"[127/560] 训练中: N=50, T=20, s=52.5 ... 验证率: 48.70%, 耗时/轮: 0.02s"
1500,100,15.49,89.63730569948186,,"[128/560] 训练中: N=50, T=20, s=100.0 ... 验证率: 39.38%, 耗时/轮: 0.02s"
1500,100,30,87.04663212435233,,"[129/560] 训练中: N=50, T=50, s=1.1 ... 验证率: 86.27%, 耗时/轮: 0.11s"
1500,150,1.1,92.2279792746114,,"[130/560] 训练中: N=50, T=50, s=2.1 ... 验证率: 86.79%, 耗时/轮: 0.04s"
1500,150,2.13,91.45077720207254,,"[131/560] 训练中: N=50, T=50, s=3.99 ... 验证率: 83.94%, 耗时/轮: 0.03s"
1500,150,4.13,91.19170984455958,,"[132/560] 训练中: N=50, T=50, s=7.6 ... 验证率: 73.58%, 耗时/轮: 0.02s"
1500,150,8,91.19170984455958,,"[133/560] 训练中: N=50, T=50, s=14.47 ... 验证率: 64.77%, 耗时/轮: 0.02s"
1500,150,15.49,90.15544041450777,,"[134/560] 训练中: N=50, T=50, s=27.57 ... 验证率: 56.22%, 耗时/轮: 0.02s"
1500,150,30,87.8238341968912,,"[135/560] 训练中: N=50, T=50, s=52.5 ... 验证率: 46.63%, 耗时/轮: 0.02s"
1500,200,1.1,92.48704663212435,,"[136/560] 训练中: N=50, T=50, s=100.0 ... 验证率: 37.56%, 耗时/轮: 0.02s"
1500,200,2.13,93.00518134715026,,"[137/560] 训练中: N=50, T=100, s=1.1 ... 验证率: 83.16%, 耗时/轮: 0.05s"
1500,200,4.13,90.93264248704664,,"[138/560] 训练中: N=50, T=100, s=2.1 ... 验证率: 82.12%, 耗时/轮: 0.05s"
1500,200,8,91.19170984455958,,"[139/560] 训练中: N=50, T=100, s=3.99 ... 验证率: 80.83%, 耗时/轮: 0.03s"
1500,200,15.49,87.30569948186529,,"[140/560] 训练中: N=50, T=100, s=7.6 ... 验证率: 72.02%, 耗时/轮: 0.02s"
1500,200,30,86.01036269430051,,"[141/560] 训练中: N=50, T=100, s=14.47 ... 验证率: 67.36%, 耗时/轮: 0.02s"
2000,10,1.1,73.05699481865285,,"[142/560] 训练中: N=50, T=100, s=27.57 ... 验证率: 61.66%, 耗时/轮: 0.02s"
2000,10,2.13,84.71502590673575,,"[143/560] 训练中: N=50, T=100, s=52.5 ... 验证率: 45.85%, 耗时/轮: 0.02s"
2000,10,4.13,85.75129533678756,,"[144/560] 训练中: N=50, T=100, s=100.0 ... 验证率: 39.38%, 耗时/轮: 0.02s"
2000,10,8,85.75129533678756,,"[145/560] 训练中: N=50, T=200, s=1.1 ... 验证率: 79.27%, 耗时/轮: 0.14s"
2000,10,15.49,89.37823834196891,,"[146/560] 训练中: N=50, T=200, s=2.1 ... 验证率: 79.53%, 耗时/轮: 0.05s"
2000,10,30,89.63730569948186,,"[147/560] 训练中: N=50, T=200, s=3.99 ... 验证率: 74.61%, 耗时/轮: 0.03s"
2000,50,1.1,87.30569948186529,,"[148/560] 训练中: N=50, T=200, s=7.6 ... 验证率: 73.06%, 耗时/轮: 0.02s"
2000,50,2.13,86.78756476683938,,"[149/560] 训练中: N=50, T=200, s=14.47 ... 验证率: 61.14%, 耗时/轮: 0.02s"
2000,50,4.13,86.26943005181347,,"[150/560] 训练中: N=50, T=200, s=27.57 ... 验证率: 54.40%, 耗时/轮: 0.02s"
2000,50,8,89.11917098445595,,"[151/560] 训练中: N=50, T=200, s=52.5 ... 验证率: 46.63%, 耗时/轮: 0.02s"
2000,50,15.49,87.56476683937824,,"[152/560] 训练中: N=50, T=200, s=100.0 ... 验证率: 37.56%, 耗时/轮: 0.02s"
2000,50,30,89.63730569948186,,"[153/560] 训练中: N=50, T=500, s=1.1 ... 验证率: 82.64%, 耗时/轮: 0.14s"
2000,100,1.1,71.50259067357513,,"[154/560] 训练中: N=50, T=500, s=2.1 ... 验证率: 78.24%, 耗时/轮: 0.05s"
2000,100,2.13,86.01036269430051,,"[155/560] 训练中: N=50, T=500, s=3.99 ... 验证率: 72.54%, 耗时/轮: 0.03s"
2000,100,4.13,91.45077720207254,,"[156/560] 训练中: N=50, T=500, s=7.6 ... 验证率: 70.73%, 耗时/轮: 0.02s"
2000,100,8,90.41450777202073,,"[157/560] 训练中: N=50, T=500, s=14.47 ... 验证率: 58.55%, 耗时/轮: 0.02s"
2000,100,15.49,90.93264248704664,,"[158/560] 训练中: N=50, T=500, s=27.57 ... 验证率: 53.63%, 耗时/轮: 0.02s"
2000,100,30,90.93264248704664,,"[159/560] 训练中: N=50, T=500, s=52.5 ... 验证率: 45.34%, 耗时/轮: 0.02s"
2000,150,1.1,90.41450777202073,,"[160/560] 训练中: N=50, T=500, s=100.0 ... 验证率: 36.01%, 耗时/轮: 0.02s"
2000,150,2.13,92.2279792746114,,"[161/560] 训练中: N=50, T=1000, s=1.1 ... 验证率: 81.61%, 耗时/轮: 0.14s"
2000,150,4.13,90.67357512953367,,"[162/560] 训练中: N=50, T=1000, s=2.1 ... 验证率: 81.35%, 耗时/轮: 0.05s"
2000,150,8,90.93264248704664,,"[163/560] 训练中: N=50, T=1000, s=3.99 ... 验证率: 79.02%, 耗时/轮: 0.03s"
2000,150,15.49,90.41450777202073,,"[164/560] 训练中: N=50, T=1000, s=7.6 ... 验证率: 67.88%, 耗时/轮: -0.06s"
2000,150,30,87.8238341968912,,"[165/560] 训练中: N=50, T=1000, s=14.47 ... 验证率: 66.06%, 耗时/轮: 0.02s"
2000,200,1.1,91.45077720207254,,"[166/560] 训练中: N=50, T=1000, s=27.57 ... 验证率: 52.33%, 耗时/轮: 0.02s"
2000,200,2.13,91.96891191709845,,"[167/560] 训练中: N=50, T=1000, s=52.5 ... 验证率: 43.01%, 耗时/轮: 0.02s"
2000,200,4.13,90.67357512953367,,"[168/560] 训练中: N=50, T=1000, s=100.0 ... 验证率: 36.79%, 耗时/轮: 0.02s"
2000,200,8,89.89637305699482,,"[169/560] 训练中: N=100, T=5, s=1.1 ... 验证率: 91.19%, 耗时/轮: 0.06s"
2000,200,15.49,89.89637305699482,,"[170/560] 训练中: N=100, T=5, s=2.1 ... 验证率: 90.16%, 耗时/轮: 0.02s"
2000,200,30,88.86010362694302,,"[171/560] 训练中: N=100, T=5, s=3.99 ... 验证率: 86.53%, 耗时/轮: 0.01s"
3000,10,1.1,90.93264248704664,,"[172/560] 训练中: N=100, T=5, s=7.6 ... 验证率: 89.90%, 耗时/轮: 0.01s"
3000,10,2.13,90.67357512953367,,"[173/560] 训练中: N=100, T=5, s=14.47 ... 验证率: 90.41%, 耗时/轮: 0.01s"
3000,10,4.13,88.08290155440415,,"[174/560] 训练中: N=100, T=5, s=27.57 ... 验证率: 88.60%, 耗时/轮: 0.01s"
3000,10,8,86.52849740932642,,"[175/560] 训练中: N=100, T=5, s=52.5 ... 验证率: 87.56%, 耗时/轮: 0.02s"
3000,10,15.49,88.3419689119171,,"[176/560] 训练中: N=100, T=5, s=100.0 ... 验证率: 60.62%, 耗时/轮: 0.02s"
3000,10,30,90.93264248704664,,"[177/560] 训练中: N=100, T=20, s=1.1 ... 验证率: 91.45%, 耗时/轮: 0.07s"
3000,50,1.1,90.15544041450777,,"[178/560] 训练中: N=100, T=20, s=2.1 ... 验证率: 90.93%, 耗时/轮: 0.03s"
