Clauses,T,s,Accuracy(%),Time_per_Epoch(s)
3000,200,52.5,84.4559585492228,0.5320745547612508
3000,200,100.0,86.26943005181347,0.6765324354171753
3000,500,1.1,92.48704663212435,1.8259984970092773
3000,500,2.1,93.26424870466322,0.6476948658625284
3000,500,3.99,91.19170984455958,0.38496092955271405
3000,500,7.6,90.15544041450777,0.4252176284790039
3000,500,14.47,89.37823834196891,0.5154406865437825
3000,500,27.57,88.86010362694302,0.64391188621521
3000,500,52.5,87.8238341968912,0.7201270500818888
3000,500,100.0,86.78756476683938,0.734784738222758
3000,1000,1.1,91.70984455958549,2.5455358823140464
3000,1000,2.1,89.89637305699482,0.974983294804891
3000,1000,3.99,89.89637305699482,0.6738381306330363
3000,1000,7.6,91.19170984455958,0.6407979408899943
3000,1000,14.47,89.37823834196891,0.7640342553456624
3000,1000,27.57,84.4559585492228,0.7678579171498616
3000,1000,52.5,82.90155440414507,0.7517846345901489
3000,1000,100.0,85.23316062176166,0.7452744404474895
5000,5,1.1,84.19689119170984,3.197213617960612
5000,5,2.1,91.19170984455958,0.9911088466644287
5000,5,3.99,87.04663212435233,0.4614178975423177
5000,5,7.6,87.04663212435233,0.3079279820124308
5000,5,14.47,87.56476683937824,0.270942481358846
5000,5,27.57,88.60103626943005,0.2737985293070475
5000,5,52.5,89.89637305699482,0.29572818279266355
5000,5,100.0,89.11917098445595,0.34204057852427167
5000,20,1.1,75.38860103626943,2.641505225499471
5000,20,2.1,81.86528497409327,0.973926059405009
5000,20,3.99,87.8238341968912,0.4406999190648397
5000,20,7.6,87.8238341968912,0.305884583791097
5000,20,14.47,88.86010362694302,0.2685328165690104
5000,20,27.57,90.15544041450777,0.2788415829340617
5000,20,52.5,89.11917098445595,0.3240033229192098
5000,20,100.0,90.15544041450777,0.40458680788675944
5000,50,1.1,74.09326424870466,2.460141658782959
5000,50,2.1,91.19170984455958,0.9123489459355673
5000,50,3.99,87.56476683937824,0.43228793938954674
5000,50,7.6,84.97409326424871,0.30278136730194094
5000,50,14.47,89.89637305699482,0.2775913079579671
5000,50,27.57,90.67357512953367,0.3056363344192505
5000,50,52.5,87.56476683937824,0.37144025961558025
5000,50,100.0,88.3419689119171,0.5013127565383911
5000,100,1.1,62.69430051813472,2.3381910721460977
5000,100,2.1,89.37823834196891,0.8759702682495117
5000,100,3.99,86.26943005181347,0.4211317300796509
5000,100,7.6,87.30569948186529,0.3123011668523153
5000,100,14.47,91.45077720207254,0.3050711234410604
5000,100,27.57,89.11917098445595,0.3686283270517985
5000,100,52.5,88.86010362694302,0.5284383694330851
5000,100,100.0,84.4559585492228,0.6581864515940349
5000,200,1.1,89.11917098445595,2.275580819447835
5000,200,2.1,88.86010362694302,0.8432137568791708
5000,200,3.99,86.78756476683938,0.41915349165598553
5000,200,7.6,88.60103626943005,0.34144917329152424
5000,200,14.47,88.08290155440415,0.3680698394775391
5000,200,27.57,89.11917098445595,0.49805347124735516
5000,200,52.5,89.89637305699482,0.6944884300231934
